SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakZHVI,PctFallFromPeak
63,578000,0.00155952174666436,0.0104895104895105,0.0779559865721746,0.084209287075852,0.000433558010161317,606600,-0.0471480382459611
64,140900,0.00213371266002845,0.0383198231392778,0.10078125,0.0563900559944517,-0.0336931722405653,202000,-0.302475247524752
65,430800,0.00186046511627907,0.00889929742388759,0.0530432657052066,0.112059695793377,-0.00683864932565437,493000,-0.126166328600406
66,534900,0.00224845418774592,0.00810403316999623,0.0732343499197432,0.100219259936365,-0.00814762546070313,592300,-0.0969103494850583
67,426600,0.00518378887841659,0.0149892933618844,0.0786346396965866,0.117029546009752,-0.013134179614841,487600,-0.125102543068089
68,545000,0.00442314780685588,0.00888559792669382,0.0545665634674923,0.0886587345974574,0.0131191701863973,545000,0
69,805500,0.00448933782267116,0.013335010693169,0.0276856340903292,0.122447940812312,0.0173809117824661,805500,0
70,166700,-0.0124407582938389,-0.01185536455246,-0.0065554231227652,0.0403270729311198,-0.0414655634863047,256000,-0.348828125
71,416000,0.011181332036947,0.0350833540681762,0.0967571842868442,0.0400740347882234,,416000,0
72,142900,-0.00279134682484299,0.00421644413211525,0.0392727272727273,0.0329782806735619,-0.00648085916473118,152900,-0.065402223675605
73,714100,0.0197058403541339,0.10081701865269,0.266808586127373,0.139190967539795,0.0432501433490178,714100,0
74,92900,0.00759219088937093,0.0153005464480874,0.0617142857142857,0.044015098018398,-0.0175546152786356,110900,-0.162308385933273
75,678100,0.0143605086013463,0.0397117448635388,0.126973574871198,0.0876989425990917,0.00938918148430834,678100,0
76,489700,0.00802799505969535,0.0244769874476987,0.0727272727272727,0.112780845496873,-0.00494741513945851,527200,-0.0711305007587253
77,424000,0.00165367351759981,0.0187409899086977,0.0797046091163738,0.119431982387258,-0.0145238225692994,490800,-0.136104319478403
78,1043900,0.00539343157083695,0.01943359375,0.0402590931738914,0.117609096335383,0.0357357694437317,1043900,0
79,458000,0.0117075325822841,0.0366681756450883,0.128634795465747,0.103106627221386,0.0340752853102377,458000,0
80,545100,0.00386740331491713,0.0173572228443449,0.081547619047619,0.104983728838791,-0.00145589444894012,556300,-0.0201330217508539
81,71300,0.00422535211267606,0.0288600288600289,0.0408759124087591,0.0186740305009245,-0.00194261638549087,72800,-0.0206043956043956
82,316500,0.00158227848101266,0.00508097808828199,0.0167041439126245,0.0287338041947105,-0.00325837287477804,328500,-0.0365296803652968
83,181600,0.0100111234705228,0.0324047754405912,0.149367088607595,0.0755021870168129,,181600,0
84,277500,0.00397973950795948,0.0172287390029325,0.0583524027459954,0.0445127832138084,0.017894309287894,277500,0
85,426000,-0.000469263256687001,0.0111559458817944,0.0798479087452472,0.0998441054111499,-0.0125609564867857,495600,-0.14043583535109
86,178000,0.0028169014084507,0.0090702947845805,0.102167182662539,0.171120891306966,-0.0234194044376858,232300,-0.233749461902712
